"filename", "language", "JavaScript", "HTML", "CSS", "Handlebars", "JSON", "comment", "blank", "total"
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\.puppeteerrc.cjs", "JavaScript", 4, 0, 0, 0, 0, 4, 1, 9
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Controllers\AccountUserController.js", "JavaScript", 3, 0, 0, 0, 0, 0, 1, 4
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Controllers\CustomersController.js", "JavaScript", 77, 0, 0, 0, 0, 0, 8, 85
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Controllers\InvoicesController.js", "JavaScript", 114, 0, 0, 0, 0, 16, 18, 148
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Controllers\ProductsController.js", "JavaScript", 51, 0, 0, 0, 0, 0, 5, 56
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Controllers\QuotationsController.js", "JavaScript", 137, 0, 0, 0, 0, 11, 16, 164
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Controllers\TransactionHistoryController.js", "JavaScript", 40, 0, 0, 0, 0, 11, 12, 63
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Controllers\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 16
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Helpers.js", "JavaScript", 102, 0, 0, 0, 0, 0, 15, 117
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Middlewares\ApplicationLevelAuthentication.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 5
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Middlewares\InvoiceAggregate.js", "JavaScript", 6, 0, 0, 0, 0, 3, 2, 11
