"filename", "language", "JavaScript", "HTML", "Handlebars", "JSON", "CSS", "comment", "blank", "total"
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\.puppeteerrc.cjs", "JavaScript", 4, 0, 0, 0, 0, 4, 1, 9
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Controllers\AccountUserController.js", "JavaScript", 3, 0, 0, 0, 0, 0, 1, 4
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Controllers\CustomerController.js", "JavaScript", 128, 0, 0, 0, 0, 0, 12, 140
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Controllers\InvoiceController.js", "JavaScript", 179, 0, 0, 0, 0, 43, 21, 243
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Controllers\ProductController.js", "JavaScript", 87, 0, 0, 0, 0, 1, 8, 96
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Controllers\QuotationController.js", "JavaScript", 222, 0, 0, 0, 0, 11, 24, 257
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Controllers\TransactionDetailController.js", "JavaScript", 102, 0, 0, 0, 0, 7, 11, 120
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Controllers\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 16
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Helpers.js", "JavaScript", 102, 0, 0, 0, 0, 0, 15, 117
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Middlewares\ApplicationLevelAuthentication.js", "JavaScript", 3, 0, 0, 0, 0, 1, 1, 5
"e:\My Projects\Invoice App\Early Build\Alpha Version\Back End\Invoice-App-Back-End\Middlewares\InvoiceAggregate.js", "JavaScript", 6, 0, 0, 0, 0, 3, 2, 11
